Country_Disasters,Country,Country_Disasters,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
122,Canada,Canada - Drought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
123,Canada,Canada - Extreme temperature,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0
124,Canada,Canada - Flood,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0
125,Canada,Canada - Storm,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0
126,Canada,Canada - Wildfire,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,13.0,15.0,16.0,18.0
146,China,China - Drought,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
147,China,China - Extreme temperature,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
148,China,China - Flood,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,6.0,9.0,11.0,20.0,11.0,10.0,10.0,10.0,10.0,12.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
149,China,China - Landslide,0.0,1.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,0.0,1.0,1.0,4.0,5.0,8.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0
150,China,China - Storm,11.0,5.0,8.0,11.0,5.0,6.0,8.0,5.0,5.0,9.0,10.0,10.0,6.0,5.0,7.0,14.0,8.0,6.0,9.0,10.0,6.0,5.0,8.0,15.0,16.0,17.0,13.0,12.0,12.0,13.0,13.0,14.0
151,China,China - Wildfire,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0
231,France,France - Drought,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
232,France,France - Extreme temperature,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0
233,France,France - Flood,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,6.0,5.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,6.0
234,France,France - Landslide,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
235,France,France - Storm,8.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
236,France,France - Wildfire,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
248,Germany,Germany - Extreme temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
249,Germany,Germany - Flood,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0
250,Germany,Germany - Landslide,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
251,Germany,Germany - Storm,6.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
299,India,India - Drought,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
300,India,India - Extreme temperature,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0
301,India,India - Flood,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,3.0,3.0,12.0,17.0,17.0,16.0,12.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,18.0,17.0,19.0,12.0,18.0,19.0
302,India,India - Landslide,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
303,India,India - Storm,5.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0,4.0,7.0,0.0,4.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,5.0,5.0,6.0,5.0,5.0,11.0,10.0,11.0,11.0
304,India,India - Wildfire,2.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0
326,Italy,Italy - Drought,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0
327,Italy,Italy - Extreme temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
328,Italy,Italy - Flood,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0
329,Italy,Italy - Landslide,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0
330,Italy,Italy - Storm,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0
331,Italy,Italy - Wildfire,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0
335,Japan,Japan - Extreme temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0
336,Japan,Japan - Flood,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
337,Japan,Japan - Landslide,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0
338,Japan,Japan - Storm,2.0,5.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,5.0,2.0,8.0,3.0,3.0,3.0,0.0,2.0,0.0,3.0,6.0,7.0,9.0,5.0,7.0,8.0,5.0,4.0,4.0,4.0
339,Japan,Japan - Wildfire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,7.0,9.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0
550,Russian Federation,Russian Federation - Drought,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,7.0,9.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0
551,Russian Federation,Russian Federation - Extreme temperature,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,7.0,9.0,5.0,7.0,7.0,3.0,4.0,3.0,5.0
552,Russian Federation,Russian Federation - Flood,0.0,0.0,1.0,2.0,5.0,0.0,2.0,1.0,4.0,1.0,8.0,3.0,4.0,1.0,3.0,5.0,3.0,1.0,0.0,2.0,0.0,3.0,4.0,7.0,9.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0
553,Russian Federation,Russian Federation - Landslide,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,7.0,9.0,4.0,7.0,7.0,6.0,8.0,8.0,8.0
554,Russian Federation,Russian Federation - Storm,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,5.0,7.0,9.0,4.0,7.0,5.0,7.0,4.0,6.0,5.0
555,Russian Federation,Russian Federation - Wildfire,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,7.0,9.0,4.0,7.0,5.0,5.0,4.0,5.0,6.0
705,United Kingdom,United Kingdom - Drought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
706,United Kingdom,United Kingdom - Extreme temperature,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
707,United Kingdom,United Kingdom - Flood,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
708,United Kingdom,United Kingdom - Storm,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
709,United States,United States - Drought,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
710,United States,United States - Extreme temperature,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
711,United States,United States - Flood,4.0,14.0,0.0,6.0,1.0,5.0,4.0,8.0,7.0,1.0,8.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0
712,United States,United States - Landslide,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
713,United States,United States - Storm,15.0,17.0,27.0,20.0,9.0,10.0,9.0,23.0,20.0,16.0,12.0,17.0,15.0,14.0,12.0,8.0,12.0,13.0,14.0,10.0,12.0,14.0,19.0,15.0,13.0,19.0,16.0,17.0,11.0,14.0,19.0,23.0
714,United States,United States - Wildfire,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,8.0,8.0,9.0,10.0,9.0,10.0,15.0,15.0,15.0,17.0,25.0
