Entity,Code,Year,Greenhouse gas emissions from agriculture,Greenhouse gas emissions from land use change and forestry,Greenhouse gas emissions from waste,Greenhouse gas emissions from buildings,Greenhouse gas emissions from industry,Greenhouse gas emissions from manufacturing and construction,Greenhouse gas emissions from transport,Greenhouse gas emissions from electricity and heat,Fugitive emissions of greenhouse gases from energy production,Greenhouse gas emissions from other fuel combustion,Greenhouse gas emissions from bunker fuels
Albania,ALB,1993,3400000,190000,910000,300000,170000,540000,519999.97,530000,140000,230000,0
Albania,ALB,1994,4290000,190000,920000,280000,100000,470000,650000,610000,80000,170000,0
Albania,ALB,1995,4350000,190000,920000,360000,129999.99,490000,650000,400000,10000,80000,0
Albania,ALB,1996,4030000.2,200000,930000,450000,150000,460000,640000,330000,10000,120000,0
Albania,ALB,1997,3760000,220000,930000,440000,120000,240000,510000,320000,10000,40000,0
Albania,ALB,1998,3660000,200000,940000,340000,129999.99,400000,760000,330000,10000,50000,0
Albania,ALB,1999,3670000,200000,950000,300000,160000,490000,1440000,290000,10000,530000,110000
Albania,ALB,2000,3770000,259999.98,960000,310000,220000,480000,1510000,380000,0,530000,120000
Albania,ALB,2001,3670000,-1120000,960000,330000,129999.99,540000,1590000,350000,10000,540000,129999.99
Albania,ALB,2002,3750000,-1120000,960000,710000,140000,430000,1820000,390000,10000,560000,129999.99
Albania,ALB,2003,3790000,-1120000,970000,510000,450000,510000,1970000,360000,10000,600000,150000
Albania,ALB,2004,3650000,-1120000,970000,480000,450000,550000,2360000,280000,10000,490000,150000
Albania,ALB,2005,3640000,-1120000,980000,450000,420000,450000,2440000,300000,10000,350000,180000
Albania,ALB,2006,3540000,-1120000,970000,490000,460000,680000,1970000,270000,10000,540000,140000
Albania,ALB,2007,3410000,-1120000,970000,350000,690000,640000,2150000,330000,0,450000,60000
Albania,ALB,2008,3170000,-1120000,970000,410000,730000,500000,2340000,280000,0,320000,80000
Albania,ALB,2009,3060000,-1120000,960000,440000,860000,780000,2360000,129999.99,0,200000,60000
Albania,ALB,2010,3070000,-1120000,960000,400000,1140000,1039999.94,2290000,100000,0,250000,50000
Albania,ALB,2011,3090000,-850000,960000,390000,1280000,1120000,2400000,120000,0,250000,60000
Albania,ALB,2012,3130000,-850000,960000,320000,1350000,650000,2310000,100000,0,250000,60000
Albania,ALB,2013,3100000,-850000,970000,390000,1440000,590000,2510000,50000,0,250000,129999.99
Albania,ALB,2014,3140000,-850000,970000,420000,1360000,920000,2530000,120000,0,280000,90000
Albania,ALB,2015,3190000,-850000,970000,450000,1270000,680000,2500000,80000,0,259999.98,70000
Albania,ALB,2016,3220000,-240000,980000,460000,1170000,610000,2370000,120000,0,270000,129999.99
Albania,ALB,2017,3140000,-240000,980000,510000,1280000,1100000,2380000,230000,0,300000,140000
Albania,ALB,2018,2980000,-240000,980000,519999.97,1180000,1290000,2280000,140000,0,300000,120000
Albania,ALB,2019,2850000,-250000,990000,530000,1160000,920000,2260000,190000,0,300000,160000
Albania,ALB,2020,2590000,-250000,990000,510000,1200000,990000,1590000,129999.99,0,300000,150000
Algeria,DZA,1990,7860000,660000,4880000,6610000,4050000.2,5690000,16190001,23130000,53820000,0,2500000
Algeria,DZA,1991,7610000,660000,5050000,7560000,3860000,6240000,17280000,24110000,54190000,0,2180000
Algeria,DZA,1992,7940000,660000,5210000,7800000,3730000,6330000,17200000,24090000,54250000,0,2170000
Algeria,DZA,1993,8080000,660000,5380000,8260000,3560000,6250000,17360000,25310000,60770000,0,2050000
Algeria,DZA,1994,7680000,660000,5550000,8200000,3230000,5980000,15890000,24980000,65699996,0,2110000
Algeria,DZA,1995,7590000,660000,6290000,8120000,3580000,6280000,15460000,25900000,70440000,0,2170000
Algeria,DZA,1996,7710000,670000,7030000,8340000,3490000,5900000,15310000,25770000,73600000,0,2030000
Algeria,DZA,1997,7560000,650000,7770000,8010000,3820000,5310000,15350000,27740000,70870000,0,1910000
Algeria,DZA,1998,8340000,650000,8510000,8660000,4070000.2,5670000,15810000,27800000,69440000,0,1790000
Algeria,DZA,1999,8460000,660000,9250000,9120000,4120000,6070000,16830000,29350000,69410000,0,1800000
Algeria,DZA,2000,8370000,970000,9990000,9360000,4550000,6180000,17220000,29200000,76930000,0,1970000
Algeria,DZA,2001,8570000,-2400000,10230000,9560000,4780000,6270000,17410000,30230000,72110000,0,2000000
Algeria,DZA,2002,8210000,-2380000,10470000,9930000,5320000,6630000,19770000,32320000,72940000,0,2190000
Algeria,DZA,2003,8590000,-2340000,10710000,10720000,5550000,7030000,22190000,32570000,81580000,0,1910000
Algeria,DZA,2004,9460000,-2390000,10950000,11550000,6660000,8109999.5,22480000,31780000,81790000,0,2210000
Algeria,DZA,2005,8860000,-2360000,11190000,12540000,7680000,8229999.5,24630000,32640000,84330000,0,2380000
Algeria,DZA,2006,9360000,-2350000,11430000,12230000,9000000,8720000,26110000,34280000,86610000,0,2250000
Algeria,DZA,2007,9470000,-2220000,11670000,13650000,9900000,9740000,28150000,33990000,84400000,0,2250000
Algeria,DZA,2008,9090000,-2300000,11910000,13620000,10930000,10100000,29780000,35320000,85370000,0,2300000
Algeria,DZA,2009,9970000,-2380000,12150000,13520000,12010000,9870000,31140000,36710000,78730000,3960000,2380000
Algeria,DZA,2010,10520000,-2400000,12390000,13280000,12490000,10710000,32390000,36480000,79110000,3600000,2470000
Algeria,DZA,2011,10810000,-540000,12640000,14650000,13050000,10820000,34940000,39350000,76140000,3990000,2280000
Algeria,DZA,2012,11540000,-440000,12900000,16840000,13190000,10070000,39470000,43510000,83770000,3560000,2260000
Algeria,DZA,2013,11810000,-610000,13160000,18540000,13410000,10020000,41140000,43010000,84380000,4150000,2470000
Algeria,DZA,2014,12410000,-600000,13410000,19260000,14410000,10260000,44480000,47910000,87800000,2390000,2310000
Algeria,DZA,2015,12560000,-620000,13670000,21080000,15430000,10830000,47450000,49820000,88400000,2510000,2410000
Algeria,DZA,2016,12420000,240000,13940000,21350000,16760000,10910000,46210000,47920000,90770000,2680000,2100000
Algeria,DZA,2017,12290000,480000,14210000,22460000,18010000,12050000,45690000,48140000,89420000,3360000,2089999.9
Algeria,DZA,2018,12320000,200000,14480000,26420000,17960000,12770000,46480000,48610000,90930000,4230000,2089999.9
Algeria,DZA,2019,12430000,230000,14740000,27130000,18590000,13950000,46630000,50090000,89870000,5770000,1540000
Algeria,DZA,2020,12620000,300000,15010000,26940000,17730000,13310000,41370000,49200000,85740000,4780000,970000
Andorra,AND,1990,0,0,20000,,0,,,,0,,
Andorra,AND,1991,0,0,30000,,0,,,,0,,
Andorra,AND,1992,0,0,30000,,0,,,,0,,
Andorra,AND,1993,0,0,30000,,0,,,,0,,
Andorra,AND,1994,0,0,30000,,0,,,,0,,
Andorra,AND,1995,0,0,30000,,0,,,,0,,
Andorra,AND,1996,0,0,30000,,10000,,,,0,,
Andorra,AND,1997,0,0,30000,,10000,,,,0,,
Andorra,AND,1998,0,0,30000,,20000,,,,0,,
Andorra,AND,1999,0,0,30000,,20000,,,,0,,
Andorra,AND,2000,0,0,30000,,30000,,,,0,,
Andorra,AND,2001,0,0,40000,,30000,,,,0,,
Andorra,AND,2002,0,0,40000,,40000,,,,0,,
Andorra,AND,2003,0,0,40000,,40000,,,,0,,
Andorra,AND,2004,0,0,40000,,40000,,,,0,,
Andorra,AND,2005,0,0,40000,,40000,,,,0,,
Andorra,AND,2006,0,0,50000,,50000,,,,0,,
Andorra,AND,2007,0,0,50000,,50000,,,,0,,
Andorra,AND,2008,0,0,50000,,50000,,,,0,,
Andorra,AND,2009,0,0,50000,,50000,,,,0,,
Andorra,AND,2010,0,0,50000,,60000,,,,0,,
Andorra,AND,2011,0,0,50000,,60000,,,,0,,
Andorra,AND,2012,0,0,50000,,60000,,,,0,,
Andorra,AND,2013,0,0,50000,,60000,,,,0,,
Andorra,AND,2014,0,0,50000,,60000,,,,0,,
Andorra,AND,2015,0,0,50000,,60000,,,,0,,
Andorra,AND,2016,0,0,50000,,60000,,,,0,,
Andorra,AND,2017,0,0,50000,,70000,,,,0,,
Andorra,AND,2018,0,0,50000,,70000,,,,0,,
Andorra,AND,2019,0,0,50000,,70000,,,,0,,
Andorra,AND,2020,0,0,60000,,70000,,,,0,,
Angola,AGO,1990,30040000,25300000,530000,1700000,110000,1770000,1039999.94,480000,7480000,30000,1060000
Angola,AGO,1991,30120000,25300000,540000,1770000,120000,1640000,1290000,440000,7690000,20000,920000
Angola,AGO,1992,30220000,25300000,560000,1720000,129999.99,1720000,1210000,370000,8480000,10000,840000
Angola,AGO,1993,30090000,25300000,580000,1650000,110000,2200000,1240000,310000,11180000,10000,950000
Angola,AGO,1994,30070000,25300000,600000,1790000,110000,1640000,1580000,380000,14160000,10000,1350000
Angola,AGO,1995,29960000,25300000,620000,1840000,100000,1810000,1100000,380000,17670000,10000,1220000
Angola,AGO,1996,27160000,26770000,640000,2100000,140000,1900000,1010000,410000,21590000,10000,1060000
Angola,AGO,1997,26790000,24980000,660000,2110000,160000,1750000,1080000,630000,22640000,0,1070000
Angola,AGO,1998,29630000,30130000,690000,2210000,190000,1310000,850000,590000,24630000,20000,690000
Angola,AGO,1999,27470000,28770000,710000,2470000,140000,1490000,1180000,850000,24710000,10000,1200000
Angola,AGO,2000,28310000,23590000,730000,2280000,150000,1580000,1100000,940000,22890000,0,1440000
Angola,AGO,2001,28930000,45910000,800000,2420000,290000,1630000,1230000,1039999.94,21740000,0,1560000
Angola,AGO,2002,31140000,47390000,870000,2450000,310000,1790000,1520000,1050000,21620000,10000,1340000
Angola,AGO,2003,35530000,48570000,950000,2520000,360000,1840000,2800000,1230000,20940000,10000,810000
Angola,AGO,2004,35660000,50240000,1020000,2580000,380000,2110000,3520000,860000,21820000,20000,1310000
Angola,AGO,2005,35240000,51140000,1090000,2270000,610000,1730000,2530000,980000,23310000,10000,920000
Angola,AGO,2006,32560002,49890000,1140000,3240000,650000,1970000,3360000,1070000,22730000,20000,820000
Angola,AGO,2007,34770000,50000000,1180000,3630000,670000,2280000,3980000,1190000,23570000,30000,1230000
Angola,AGO,2008,32990002,50410000,1230000,4280000,830000,2100000,5310000,1600000,25480000,30000,1320000
Angola,AGO,2009,33110000,52090000,1280000,4830000,850000,2200000,5890000,2470000,24290000,40000,1200000
Angola,AGO,2010,34750000,52910000,1330000,5050000,760000,2350000,5800000,2620000,26190000,40000,1560000
Angola,AGO,2011,35840000,50680000,1380000,5450000,970000,2430000,6410000,2450000,25330000,40000,1390000
Angola,AGO,2012,34040000,51670000,1430000,5990000,1390000,2230000,6900000,2940000,23600000,50000,2180000
Angola,AGO,2013,35050000,50020000,1480000,7080000,1830000,1640000,7880000,4350000,22970000,60000,1930000
Angola,AGO,2014,33900000,50690000,1530000,6960000,2280000,1470000,8130000,6020000,23280000,60000,2520000
Angola,AGO,2015,35260000,51870000,1580000,6410000,2360000,2220000,8170000,6450000,26180000,50000,2590000
Angola,AGO,2016,35340000,50820000,1640000,5900000,1870000,2490000,8090000,4580000,26770000,40000,2040000
Angola,AGO,2017,36000000,54080000,1700000,5090000,1400000,1370000,6870000,5120000,24460000,30000,2040000
Angola,AGO,2018,32279998,47330000,1750000,4850000,1470000,1940000,7100000,5070000,20350000,30000,2000000
Angola,AGO,2019,36100000,51280000,1810000,5340000,1430000,1520000,8100000.5,5750000,18590000,30000,1980000
Angola,AGO,2020,34100000,48630000,1860000,4670000,1560000,1340000,5750000,5150000,16320000,20000,1410000
Antigua and Barbuda,ATG,1990,40000,0,100000,10000,0,0,100000,110000,0,0,190000
Antigua and Barbuda,ATG,1991,40000,0,100000,10000,0,0,110000,100000,0,0,190000
Antigua and Barbuda,ATG,1992,40000,0,110000,10000,10000,0,110000,100000,0,0,190000
Antigua and Barbuda,ATG,1993,40000,0,110000,10000,10000,0,110000,100000,0,0,190000
Antigua and Barbuda,ATG,1994,40000,0,120000,10000,10000,0,110000,100000,0,0,200000
Antigua and Barbuda,ATG,1995,40000,0,120000,10000,20000,0,120000,100000,0,0,210000
Antigua and Barbuda,ATG,1996,40000,0,129999.99,10000,30000,0,129999.99,120000,0,0,210000
Antigua and Barbuda,ATG,1997,40000,0,129999.99,10000,40000,0,129999.99,129999.99,0,0,210000
Antigua and Barbuda,ATG,1998,40000,0,140000,10000,50000,0,140000,140000,0,0,210000
Antigua and Barbuda,ATG,1999,40000,0,150000,10000,70000,0,140000,150000,0,0,210000
Antigua and Barbuda,ATG,2000,40000,0,150000,10000,80000,0,150000,160000,0,0,210000
Antigua and Barbuda,ATG,2001,40000,0,150000,10000,100000,0,150000,170000,0,0,210000
Antigua and Barbuda,ATG,2002,40000,0,160000,10000,110000,0,150000,180000,0,0,210000
Antigua and Barbuda,ATG,2003,40000,0,160000,10000,129999.99,0,160000,190000,0,0,210000
Antigua and Barbuda,ATG,2004,50000,0,160000,10000,150000,0,160000,200000,0,0,220000
Antigua and Barbuda,ATG,2005,50000,0,160000,10000,160000,0,160000,200000,0,0,220000
Antigua and Barbuda,ATG,2006,50000,0,170000,10000,200000,0,170000,220000,0,0,220000
Antigua and Barbuda,ATG,2007,50000,0,170000,10000,230000,0,170000,230000,0,0,230000
Antigua and Barbuda,ATG,2008,40000,0,170000,10000,270000,0,180000,240000,0,0,230000
Antigua and Barbuda,ATG,2009,40000,0,170000,10000,310000,0,200000,240000,0,0,230000
Antigua and Barbuda,ATG,2010,20000,0,180000,10000,340000,0,180000,280000,0,0,200000
Antigua and Barbuda,ATG,2011,20000,0,180000,10000,350000,0,170000,270000,0,0,210000
Antigua and Barbuda,ATG,2012,20000,0,180000,10000,360000,0,180000,280000,0,0,220000
Antigua and Barbuda,ATG,2013,20000,0,180000,10000,370000,0,180000,280000,0,0,210000
Antigua and Barbuda,ATG,2014,20000,0,180000,10000,380000,0,190000,280000,0,0,220000
Antigua and Barbuda,ATG,2015,20000,0,190000,10000,390000,0,200000,280000,0,0,220000
Antigua and Barbuda,ATG,2016,20000,0,190000,10000,410000,0,210000,280000,0,0,220000
Antigua and Barbuda,ATG,2017,20000,0,190000,10000,440000,0,210000,280000,0,0,220000
Antigua and Barbuda,ATG,2018,20000,0,190000,10000,460000,0,210000,280000,0,0,220000
Antigua and Barbuda,ATG,2019,20000,0,190000,10000,490000,0,210000,280000,0,0,220000
Antigua and Barbuda,ATG,2020,20000,0,200000,10000,510000,0,200000,270000,0,0,100000
Argentina,ARG,1990,118230000,47610000,11000000,17600000,3800000,14200000,29050000,29080000,21620000,4620000,3630000
Argentina,ARG,1991,117010000,47610000,11250000,17300000,4000000,14790000,30710000,32460000,21060000,5110000,2770000
Argentina,ARG,1992,118650000,47610000,11500000,16690001,4130000,15810000,32810002,31280000,22020000,5700000,3110000
Argentina,ARG,1993,116760000,47610000,11760000,18580000,4230000,15120000,35140000,30540000,21100000,6240000,2660000
Argentina,ARG,1994,118340000,47610000,12010000,18200000,4350000,17620000,34620000,30310000,20390000,7360000,2870000
Argentina,ARG,1995,117670000,47620000,12550000,18120000,4000000,17340000,36060000,29280000,23150000,7820000,3550000
Argentina,ARG,1996,115290000,49540000,13100000,17980000,4260000,17850000,42010000,33250000,23720000,8279999.5,4280000
Argentina,ARG,1997,114820000,50170000,13650000,18070000,5460000,20940000,41960000,33050000,24660000,8120000,4390000
Argentina,ARG,1998,111730000,49900000,14590000,18380000,5990000,20380000,44650000,38020000,24850000,7740000,4120000
Argentina,ARG,1999,114050000,51310000,15520000,19690000,6410000,18420000,41940000,42850000,25680000,7850000,4130000
Argentina,ARG,2000,116410000,48800000,16459999,20770000,6310000,18000000,40780000,42260000,25680000,7600000,3770000
Argentina,ARG,2001,115570000,97410000,16709999,19940000,6440000,17760000,37510000,40170000,26780000,7170000,4260000
Argentina,ARG,2002,119180000,97440000,16950000,19020000,6110000,17190000,34670000,37340000,26730000,7210000,3880000
Argentina,ARG,2003,129250000,97620000,17200000,20470000,7080000,19120000,35430000,41900000,27530000,8450000,4110000.2
Argentina,ARG,2004,130360000,97770000,17450000,21900000,7920000,20130000,38110000,48770000,27610000,10070000,3980000
Argentina,ARG,2005,129890000,97650000,17690000,22820000,8880000,20550000,38660000,50610000,26260000,10610000,4600000
Argentina,ARG,2006,133190000,97580000,17990000,22820000,11370000,22230000,41560000,53930000,26220000,11270000,4630000
Argentina,ARG,2007,136160000,97570000,18290000,26690000,13560000,21180000,44970000,54480000,25160000,12370000,5210000
Argentina,ARG,2008,133550000,97650000,18590000,25330000,15520000,20770000,47000000,59180000,25440000,11990000,5590000
Argentina,ARG,2009,123050000,97810000,18890000,24890000,17300000,17640000,43090000,57290000,23810000,10660000,5500000
Argentina,ARG,2010,116150000,97530000,19190000,28400000,19630000,19130000,45460000,59520000,23350000,11660000,6620000
Argentina,ARG,2011,116430000,68110000,19510000,28500000,20830000,20800000,47040000,64640000,23060000,12090000,7190000
Argentina,ARG,2012,118410000,68190000,19820000,29960000,21220000,19270000,46220000,67680000,23900000,11400000,8340000
Argentina,ARG,2013,121320000,68970000,20130000,31120000,22400000,21200000,49230000,65100000,23750000,12720000,8540000
Argentina,ARG,2014,122450000,67920000,20450000,30060000,22950000,21600000,45520000,67100000,23950000,11540000,7810000
Argentina,ARG,2015,121850000,68070000,20760000,30370000,23970000,21790000,47820000,69880000,24020000,11940000,5780000
Argentina,ARG,2016,126010000,32180000,21060000,30800000,24610000,19570000,46800000,71290000,23880000,11680000,5170000
Argentina,ARG,2017,132320010,32800000,21370000,28700000,26110000,19090000,48050000,68330000,23560000,11880000,5680000
Argentina,ARG,2018,130850010,32150002,21670000,28280000,27290000,20820000,49410000,64220000,25060000,10570000,5680000
Argentina,ARG,2019,132759990,32140000,21980000,27110000,28240000,20620000,49090000,56820000,27200000,10710000,4920000
Argentina,ARG,2020,134600000,33330002,22280000,26690000,28780000,20850000,38930000,54310000,25100000,9880000,1610000
Armenia,ARM,1990,1550000,129999.99,770000,6480000,0,3810000,3060000,6120000,1990000,610000,600000
Armenia,ARM,1991,1490000,129999.99,760000,4450000,0,4000000,3000000,7820000,1850000,1620000,680000
Armenia,ARM,1992,1350000,129999.99,750000,1910000,110000,1380000,1890000,4880000,1700000,710000,470000
Armenia,ARM,1993,1180000,129999.99,740000,590000,70000,2010000,1230000,810000,1560000,330000,200000
Armenia,ARM,1994,1110000,129999.99,730000,790000,50000,640000,160000,820000,1420000,280000,150000
Armenia,ARM,1995,1090000,129999.99,720000,1170000,100000,510000,120000,1390000,1280000,200000,110000
Armenia,ARM,1996,1100000,129999.99,710000,250000,120000,450000,60000,1540000,1130000,110000,60000
Armenia,ARM,1997,1090000,129999.99,700000,320000,220000,850000,70000,1800000,990000,120000,60000
Armenia,ARM,1998,1020000,129999.99,700000,340000,280000,970000,70000,1790000,850000,120000,70000
Armenia,ARM,1999,1020000,129999.99,690000,280000,259999.98,1030000,70000,1460000,710000,100000,70000
Armenia,ARM,2000,1030000,129999.99,710000,310000,240000,720000,590000,1600000,560000,220000,190000
Armenia,ARM,2001,1060000,120000,720000,340000,259999.98,800000,590000,1540000,590000,210000,180000
Armenia,ARM,2002,1170000,120000,720000,390000,340000,800000,560000,920000,610000,259999.98,160000
Armenia,ARM,2003,1170000,120000,730000,480000,360000,990000,610000,880000,630000,350000,80000
Armenia,ARM,2004,1250000,120000,730000,650000,450000,1100000,630000,770000,660000,350000,120000
Armenia,ARM,2005,1240000,120000,740000,730000,500000,1360000,700000,950000,680000,430000,140000
Armenia,ARM,2006,1560000,129999.99,750000,750000,519999.97,1440000,690000,900000,700000,400000,120000
Armenia,ARM,2007,1430000,120000,750000,1070000,610000,1170000,1110000,1080000,730000,420000,170000
Armenia,ARM,2008,1410000,120000,750000,1200000,630000,1350000,1320000,1039999.94,750000,440000,170000
Armenia,ARM,2009,1400000,120000,750000,1120000,480000,960000,1200000,650000,780000,400000,90000
Armenia,ARM,2010,1340000,129999.99,750000,980000,540000,519999.97,1320000,630000,810000,670000,129999.99
Armenia,ARM,2011,1360000,-80000,750000,1130000,519999.97,600000,1360000,950000,830000,720000,140000
Armenia,ARM,2012,1550000,-80000,750000,1260000,530000,670000,1370000,1430000,850000,790000,150000
Armenia,ARM,2013,1690000,-80000,750000,1240000,519999.97,660000,1340000,1320000,870000,750000,140000
Armenia,ARM,2014,1660000,-80000,750000,1090000,500000,570000,1780000,1150000,890000,740000,129999.99
Armenia,ARM,2015,1780000,-80000,750000,1180000,500000,410000,1730000,1290000,910000,610000,100000
Armenia,ARM,2016,2330000,40000,750000,1290000,400000,400000,1650000,1190000,900000,510000,140000
Armenia,ARM,2017,1870000,40000,740000,1380000,430000,450000,1750000,1260000,900000,470000,170000
Armenia,ARM,2018,1750000,40000,740000,1210000,530000,470000,1880000,1500000,900000,460000,200000
