Country_Disasters,Australia - Temperature,Australia - Drought,Australia - Extreme temperature,Australia - Flood,Australia - Landslide,Australia - Storm,Australia - Wildfire,Australia - Total Extreme Weather,Brazil - Temperature,Brazil - Drought,Brazil - Extreme temperature,Brazil - Flood,Brazil - Landslide,Brazil - Storm,Brazil - Wildfire,Brazil - Total Extreme Weather,Canada - Mean Temperature Rise,Canada - Drought,Canada - Extreme temperature events,Canada - Flood,Canada - Storm,Canada - Wildfire,Canada - Total Extreme Weather,China - Temperature,China - Drought,China - Extreme temperature,China - Flood,China - Landslide,China - Storm,China - Wildfire,China - Total Extreme Weather,France - Temperature,France - Drought,France - Extreme temperature,France - Flood,France - Landslide,France - Storm,France - Wildfire,France - Total Extreme Weather,Germany - Temperature,Germany - Extreme temperature,Germany - Flood,Germany - Landslide,Germany - Storm,Germany - Total Extreme Weather,India - Temperature,India - Drought,India - Extreme temperature,India - Flood,India - Landslide,India - Storm,India - Wildfire,India - Total Extreme Weather,Italy - Temperature,Italy - Drought,Italy - Extreme temperature,Italy - Flood,Italy - Landslide,Italy - Storm,Italy - Wildfire,Italy - Total Extreme Weather,Japan - Temperature,Japan - Extreme temperature,Japan - Flood,Japan - Landslide,Japan - Storm,Japan - Wildfire,Japan - Total Extreme Weather,Russian Federation - Temperature,Russian Federation - Drought,Russian Federation - Extreme temperature,Russian Federation - Flood,Russian Federation - Landslide,Russian Federation - Storm,Russian Federation - Wildfire,Russia - Total Extreme Weather,United Kingdom - Temperature,United Kingdom - Drought,United Kingdom - Extreme temperature,United Kingdom - Flood,United Kingdom - Storm,UK - Total Extreme Weather,United States - Temperature,United States - Drought,United States - Extreme temperature,United States - Flood,United States - Landslide,United States - Storm,United States - Wildfire,US - Total Extreme Weather
2000,0.148,2,2,5,2,6,6,23,0.495,3,1,4,3,2,3,16,1.7,1,2,3,4,3,13,0.572,3,2,9,2,10,0,26,1.175,0,0,6,1,1,1,9,1.764,0,2,1,0,3,0.35,3,6,11,3,2,5,30,1.243,1,0,4,0,0,0,5,0.636,0,1,0,3,0,4,1.319,0,3,8,2,1,5,14,0.724,0,0,3,3,6,1,2,1,8,1,12,3,27
2001,0.336,2,2,4,2,6,7,23,0.746,3,1,3,4,4,3,18,1.421,1,2,3,4,3,13,1.038,3,2,9,6,10,0,30,1.391,0,0,5,1,2,1,9,1.292,0,2,1,1,4,0.473,3,6,12,3,3,5,32,1.533,1,0,2,0,1,0,4,0.418,0,1,0,4,0,5,0.813,0,3,3,0,2,2,8,0.631,0,0,2,0,2,0.786,0,1,5,3,17,3,29
2002,0.736,2,2,5,2,6,7,24,1.052,3,1,2,2,5,3,16,0.54,1,2,3,4,3,13,1.131,3,2,10,4,6,0,25,1.054,0,0,3,1,2,1,7,1.491,0,2,1,3,6,0.827,3,6,3,0,4,5,21,0.913,1,1,3,0,0,0,5,0.63,0,0,0,5,1,6,1.589,0,1,4,1,2,3,8,1.011,0,0,3,2,5,0.951,1,1,4,3,15,3,27
2003,0.835,3,1,4,2,7,7,24,0.927,3,1,5,3,5,3,20,1.24,1,2,4,4,3,14,0.822,4,2,6,2,5,1,20,1.8,0,1,2,1,2,1,7,1.258,1,3,1,2,7,0.665,3,6,3,1,7,5,25,1.526,1,1,2,0,0,0,4,0.326,0,1,0,2,0,3,0.992,1,0,1,0,1,1,3,1.194,0,1,0,0,1,0.99,0,0,4,3,14,3,24
2004,0.723,4,2,5,2,7,7,27,0.768,3,1,2,3,5,3,17,1.694,1,2,4,4,3,14,1.112,0,2,9,1,7,0,19,0.969,0,0,0,2,2,1,5,0.998,0,4,1,1,6,0.545,3,6,12,0,0,5,26,0.746,1,1,0,0,1,0,3,1.116,1,2,0,8,0,11,1.397,0,0,3,0,3,1,6,1.035,1,0,0,1,2,0.863,0,1,2,3,12,3,21
2005,1.211,2,3,6,2,7,7,27,1.085,3,1,2,3,5,3,17,1.291,1,2,4,4,3,14,1.048,4,3,11,0,14,0,32,1.02,0,2,2,2,2,1,9,1.025,2,4,2,1,9,0.567,3,6,17,2,4,5,37,0.563,1,1,0,0,0,0,2,0.737,0,1,0,3,0,4,1.702,0,1,5,1,2,0,9,1.116,1,0,0,0,1,1.153,0,0,1,3,8,3,15
2006,0.721,3,3,6,2,7,7,28,0.77,3,1,2,3,5,3,17,1.421,1,2,5,5,4,17,1.232,4,3,20,1,8,0,36,1.306,0,1,2,2,2,1,8,1.254,2,4,2,3,11,0.638,3,7,17,0,2,5,34,0.84,1,1,0,1,1,0,4,0.39,0,2,0,3,0,5,0.551,0,0,3,0,0,0,3,1.25,1,0,1,1,3,1.026,0,0,2,3,12,5,22
2007,0.929,4,3,6,2,7,8,30,0.969,3,2,3,3,5,3,19,1.333,2,2,5,5,5,19,1.538,6,3,11,1,6,1,28,1.407,0,0,2,2,3,1,8,2.088,2,4,2,2,10,0.607,3,7,16,0,1,6,33,1.552,1,2,0,0,0,1,4,1.004,1,1,0,3,0,5,2.49,0,0,1,0,1,0,2,1.332,2,0,0,0,2,1.143,1,1,1,3,13,5,24
2008,0.625,4,3,6,3,7,9,32,0.731,4,2,4,3,5,3,21,1.55,2,3,5,5,5,20,1.09,6,3,10,4,9,1,33,0.992,0,2,2,2,3,1,10,1.542,2,4,2,2,10,0.263,3,7,12,1,1,6,30,1.133,1,2,3,3,3,3,15,0.671,3,1,0,0,0,4,2.223,0,0,0,0,0,0,0,0.838,2,3,3,3,11,0.212,3,3,1,3,14,5,29
2009,1.03,4,3,5,3,7,7,29,0.969,4,2,7,4,5,3,25,1.77,2,3,5,5,6,21,1.336,6,3,10,5,10,1,35,1.212,0,2,2,2,3,1,10,1.282,2,4,2,1,9,1.134,3,7,15,2,6,6,39,1.234,1,2,1,1,1,1,7,0.801,1,0,2,2,2,7,1.192,2,2,2,2,2,2,10,0.948,2,1,1,1,5,0.398,1,1,0,4,10,5,21
2010,0.673,4,3,5,3,7,8,30,1.112,4,2,3,4,5,4,22,1.89,2,3,0,5,7,17,0.968,6,3,10,8,6,1,34,0.395,0,2,2,2,3,1,10,0.196,2,4,2,2,10,1.129,3,7,17,1,7,6,41,0.755,1,1,1,1,1,1,6,0.922,1,1,2,0,0,4,0.88,0,0,0,0,0,0,0,-0.05,1,1,1,1,4,0.695,1,1,1,5,12,5,25
2011,0.208,4,3,7,3,7,8,32,0.814,4,2,8,5,5,4,28,2.01,2,3,5,5,7,22,0.792,6,3,10,2,5,1,27,1.534,0,3,2,2,3,1,11,1.121,2,4,2,2,10,0.365,3,7,15,2,3,6,36,1.253,1,1,2,2,2,2,10,0.596,2,1,2,3,3,11,1.704,3,3,3,3,3,3,15,0.851,1,2,2,2,7,0.537,2,2,1,5,14,5,29
2012,0.308,4,4,7,3,7,8,33,1.023,4,2,2,3,5,4,20,2.144,2,3,5,5,7,22,0.626,6,3,12,1,8,1,31,1.22,0,3,2,2,3,1,11,1.349,2,4,2,2,10,0.516,3,7,15,2,1,6,34,1.543,1,1,1,1,1,1,6,0.395,1,1,2,6,6,16,1.933,5,6,4,6,5,6,26,0.576,1,1,1,1,4,1.448,1,1,1,5,19,5,32
2013,1.499,5,4,7,3,6,8,33,0.922,4,2,5,3,5,4,23,2.02,2,3,5,5,7,22,1.073,6,3,14,3,15,1,42,0.714,0,0,2,3,2,1,8,0.583,2,4,2,2,10,0.451,3,7,15,2,5,6,38,1.006,1,2,1,1,1,1,7,0.628,1,1,2,7,7,18,1.166,7,7,7,7,7,7,35,0.364,2,1,1,1,5,0.614,1,1,1,5,15,5,28
2014,1.198,5,4,7,3,6,8,33,1.153,4,3,4,3,5,4,23,2.21,2,3,5,5,7,22,1.062,7,3,13,2,16,1,42,2.049,1,3,3,2,4,2,15,2.519,2,4,2,2,10,0.53,3,7,15,2,5,5,37,1.638,2,2,4,4,4,4,20,0.56,4,0,2,9,9,24,1.753,9,9,9,9,9,9,45,1.718,2,4,4,4,14,0.501,4,4,0,5,13,5,31
2015,1.087,5,4,7,3,6,9,34,1.516,5,3,4,4,5,4,25,2.25,2,3,6,6,7,24,1.297,7,3,12,1,17,1,41,1.612,1,3,3,2,4,2,15,1.674,2,4,2,2,10,0.711,3,7,15,2,6,5,38,1.704,2,2,3,3,3,3,16,0.833,3,1,2,5,5,16,2.246,5,5,6,4,4,4,24,0.614,2,3,3,3,11,1.531,3,3,1,5,19,5,36
2016,1.172,4,4,6,3,5,10,32,1.457,4,3,2,4,5,5,23,2.373,2,3,6,7,8,26,1.319,7,3,12,3,13,3,41,1.794,1,3,1,3,4,2,14,1.988,3,4,2,2,11,1.088,4,7,18,2,5,5,41,1.716,2,2,3,3,3,3,16,1.323,3,1,2,7,7,20,2.459,7,7,7,7,7,7,35,1.161,2,3,3,3,11,2.224,3,3,1,5,16,6,34
2017,1.141,5,4,5,3,8,9,34,1.363,4,3,1,5,6,5,24,2.45,2,4,7,7,9,29,1.573,7,5,12,4,12,4,44,1.796,1,4,3,3,4,2,17,1.653,3,4,1,2,10,0.966,4,8,17,3,5,5,42,1.606,1,3,1,1,1,1,8,0.796,1,1,2,8,7,19,2.127,6,7,5,7,5,5,30,1.424,3,3,2,4,12,1.433,3,4,5,5,17,7,41
2018,1.129,5,4,8,3,8,12,40,1.148,4,3,2,4,6,5,24,2.58,2,5,7,7,9,30,1.361,7,5,12,4,12,4,44,2.06,1,4,3,3,4,2,17,2.393,3,3,2,2,10,0.874,4,8,19,3,11,6,51,1.834,2,2,1,1,1,1,8,0.926,1,1,2,5,5,14,2.043,6,3,5,6,7,5,27,0.998,2,3,2,4,11,1.276,3,4,5,5,11,8,36
2019,1.422,5,4,8,4,8,13,42,1.517,4,3,7,4,6,5,29,2.56,2,5,7,8,9,31,1.422,7,5,12,3,13,3,43,2.023,1,4,3,3,4,3,18,2.332,3,3,2,2,10,0.802,4,8,12,3,10,6,43,1.698,1,3,1,1,1,1,8,1.272,1,3,3,4,5,16,2.178,6,4,5,8,4,4,27,1.231,3,3,2,4,12,1.034,1,3,3,5,14,8,34
2020,1.416,6,4,8,4,8,14,44,1.477,4,3,5,6,6,5,29,2.67,2,5,7,8,10,32,1.62,7,5,12,4,13,3,44,2.551,2,4,4,3,4,3,20,2.516,3,3,2,1,9,0.52,4,8,18,3,11,6,50,1.902,2,3,3,3,3,3,17,1.437,3,1,3,4,5,16,3.691,6,3,5,8,6,5,28,1.373,3,3,3,3,12,1.324,3,3,4,5,19,9,43
2021,0.629,6,4,7,4,8,15,44,1.154,4,3,10,7,7,5,36,2.68,2,5,9,8,12,36,1.701,7,5,12,4,14,3,45,1.337,2,5,6,3,4,3,23,1.325,3,3,2,2,10,0.733,4,8,19,3,11,7,52,1.569,2,3,4,3,4,3,19,1.27,4,3,3,4,5,19,1.643,6,5,5,8,5,6,29,0.929,3,4,3,4,14,1.144,3,4,3,6,23,10,49
